Parcel ID,LUC ,Prior Year Due,Column 1,Column 2,Column 3
Q6521037000058,510,8713.29,,,
Q6511076000059,510,8683.87,,,
C1730076000066,511,8654.1,,,
Q6542063000039,447,8640.86,,,
A0700016000053,447,8633.22,,,
M5620305000014,510,8633.15,,,
M5610023000017,511,8554.06,,,
N6110010000041,511,8535.71,,,
M5620134000039,510,8532.83,,,
B1020072000025,510,8523.56,,,
P6412119000011,510,8505.53,,,
D2010024000084,511,8491.71,,,
A0700012000022,420,8476.11,,,
Q6542066000211,510,8419.71,,,
D2010015000013,455,8406.16,,,
E2220061000032,510,8399.84,,,
Q6511031000018,500,8362.17,,,
D2020312000009,510,8348.97,,,
P6451011000079,500,8303.92,,,
C1800016350078,510,8300.36,,,
M5620401000005,510,8269.95,,,
M5620423000071,510,8259.65,,,
G3210017000070,511,8238.99,,,
C1800006000029,340,8238.66,,,
M5620362000007,350,8213.26,,,
C1800005130015,510,8164.09,,,
M5620399000014,510,8109.05,,,
P6421003000070,444,8090.24,,,
P6412168000005,510,8071.92,,,
D2020265000042,510,8008.64,,,
A0700119000052,510,7983.09,,,
A0700114000038,510,7978.96,,,
M5620319000001,510,7936.48,,,
A0700089000009,510,7933,,,
J4310004000008,511,7917.38,,,
Q6542104000039,500,7868.7,,,
B1020048000002,510,7868.47,,,
M5620063000016,510,7848.57,,,
Q6532031000046,500,7838.15,,,
A0700034000018,510,7809.94,,,
M5610017000012,521,7801.85,,,
Q6532026000074,510,7764.61,,,
R8000007000095,510,7763.99,,,
Q6532019000015,510,7762.8,,,
P6431049000045,430,7761.94,,,
G3210017000046,511,7740.98,,,
B1320108000025,510,7735.27,,,
Q6511036000031,510,7659.06,,,
A0700038000058,510,7654.42,,,
D2020248000015,510,7653.58,,,
Q6541019000078,510,7643.59,,,
R8000072000030,510,7634.69,,,
M5610034000056,499,7602.11,,,
P6461003000001,449,7559.61,,,
L5210014000022,101,7529.68,,,
K4610014000046,499,7525.53,,,
Q6521007000082,510,7504.57,,,
M5620299000026,510,7499.05,,,
Q6542114000119,510,7485.9,,,
Q6532033000032,510,7484.92,,,
P6451021000027,500,7483.1,,,
Q6542103000062,510,7477.63,,,
A0700078000062,510,7472.6,,,
C1800018000033,510,7464.93,,,
P6441003000001,510,7462.58,,,
K4620075000016,510,7436.46,,,
Q6511037000037,500,7423.88,,,
M5620101000014,510,7383.57,,,
E2220169000006,510,7378.37,,,
H4100114000028,510,7370.08,,,
D2020218000023,510,7351.21,,,
Q6542087000112,510,7339.58,,,
H4100004000124,510,7312.86,,,
A0300037000140,510,7281.76,,,
G3210006000046,511,7268.53,,,
M5610020000102,420,7264.8,,,
P6431029000011,510,7257.35,,,
C1800016320093,510,7255.04,,,
Q6521006000171,510,7254.02,,,
M5810031000022,300,7248.6,,,
A0700103000039,350,7235.9,,,
E2210028000044,511,7232.98,,,
Q6542045000052,520,7222.52,,,
D2020061000022,510,7180.45,,,
R8000020000069,510,7170.72,,,
N5910029000036,111,7160.17,,,
A0300135000032,510,7144.19,,,
Q6532040000012,510,7138.09,,,
P6451023000009,500,7097.12,,,
M5620061000001,510,7079.88,,,
Q6532033000013,510,7055.78,,,
M5620149000078,550,7034.14,,,
Q6532021000025,500,7019.45,,,
G3210029240002,511,7016.81,,,
P6431049000018,401,7016.21,,,
Q6521037000048,510,7012.21,,,
D2010019000032,511,6994.34,,,
A0700016000073,430,6976.9,,,
D2010019000026,111,6972.58,,,
A0700128000013,510,6961.98,,,
Q6521027000025,510,6940.46,,,
Q6521001000051,500,6929.13,,,
D2020270000021,510,6915.52,,,
R8000010000026,510,6912.89,,,
P6462004000094,510,6905.03,,,
C1800005130016,510,6902.92,,,
P6462011000102,510,6899.52,,,
Q6521037000046,510,6897.96,,,
P6441030000049,510,6871.52,,,
A0700154000055,510,6870.63,,,
Q6531047000055,510,6868.15,,,
D2020106000034,510,6853.97,,,
